G188	G938	0.09331395477056503
G92	G1060	0.08929627388715744
G92	G865	0.08671693503856659
G92	G1525	0.08610624819993973
G109	G1406	0.08583308756351471
G92	G1039	0.08497344702482224
G144	G570	0.08304498344659805
G1	G936	0.08140283077955246
G115	G665	0.08100317418575287
G187	G1254	0.0805523619055748
G10	G1312	0.07944884151220322
G121	G569	0.07931435108184814
G92	G738	0.07888562977313995
G126	G1050	0.0784255713224411
G117	G1095	0.07824540883302689
G115	G407	0.07816632091999054
G10	G498	0.07799362391233444
G1	G1130	0.07749927788972855
G92	G1141	0.0774918645620346
G115	G378	0.0774790421128273
G115	G1128	0.077213354408741
G27	G57	0.07719298452138901
G187	G925	0.07641100138425827
G62	G494	0.07609953731298447
G149	G1338	0.07580693066120148
G92	G1287	0.07562008500099182
G12	G1243	0.07542722672224045
G44	G947	0.07492537051439285
G171	G637	0.07438495010137558
G1	G1162	0.07436802238225937
G58	G1423	0.0741066187620163
G62	G360	0.07400932163000107
G2	G27	0.07390300184488297
G158	G1434	0.07390166074037552
G71	G460	0.07382744550704956
G92	G508	0.07357120513916016
G58	G1577	0.07328332215547562
G119	G809	0.07312775403261185
G194	G141	0.07271634787321091
G176	G367	0.07248908281326294
G183	G522	0.07233796268701553
G14	G133	0.07226791977882385
G171	G389	0.0722125917673111
G100	G673	0.07220111042261124
G36	G195	0.07212246209383011
G171	G1002	0.07209573686122894
G71	G1420	0.07205367833375931
G98	G1515	0.0716574415564537
G143	G35	0.07134433835744858
G192	G626	0.07128427177667618
G133	G14	0.0712708905339241
G98	G1167	0.07100939005613327
G100	G1102	0.07080163806676865
G98	G710	0.0707656592130661
G17	G33	0.07067757099866867
G171	G661	0.07055748999118805
G92	G436	0.07052600383758545
G176	G228	0.07034442573785782
G1	G1427	0.07020098716020584
G141	G194	0.07015492767095566
G171	G1436	0.06999125331640244
G88	G1126	0.06994439661502838
G48	G1099	0.06991179287433624
G158	G1082	0.06986899673938751
G171	G1037	0.06986143440008163
G44	G617	0.06980960816144943
G194	G1405	0.06976744532585144
G98	G531	0.06975381076335907
G121	G1209	0.06972476840019226
G112	G439	0.06936752796173096
G19	G733	0.06935577839612961
G16	G1440	0.06935251504182816
G100	G604	0.06932153552770615
G65	G78	0.06917688250541687
G75	G103	0.06915052235126495
G171	G764	0.06909620761871338
G171	G635	0.06893542408943176
G92	G528	0.06890641152858734
G141	G914	0.0687924399971962
G110	G229	0.06870003044605255
G121	G973	0.06858789920806885
G136	G134	0.06852497160434723
G71	G990	0.06850961595773697
G126	G672	0.06846532970666885
G33	G17	0.06805514544248581
G134	G426	0.06804303824901581
G44	G1493	0.0679442510008812
G16	G687	0.06789413094520569
G115	G1173	0.067881278693676
G158	G696	0.06768239289522171
G26	G741	0.06766020506620407
G187	G791	0.06763425469398499
G154	G1155	0.06761877238750458
G77	G1565	0.06738544255495071
G58	G366	0.0673244372010231
